,dices_coefficient,sigma,extended_maxima_h
0,0.05463879721305464,0.125,0
1,0.08359046283309958,0.125,1
2,0.10160245482441187,0.125,2
3,0.11708860759493671,0.125,3
4,0.13033905768383972,0.125,4
5,0.14209245742092458,0.125,5
6,0.15151515151515152,0.125,6
7,0.16331096196868009,0.125,7
8,0.17422434367541767,0.125,8
9,0.18502202643171806,0.125,9
10,0.1931216931216931,0.125,10
11,0.2013793103448276,0.125,11
12,0.21128798842257598,0.125,12
13,0.21851289833080426,0.125,13
14,0.22342901474010862,0.125,14
15,0.23132530120481928,0.125,15
16,0.23734439834024895,0.125,16
17,0.24319727891156462,0.125,17
18,0.25198237885462554,0.125,18
19,0.25719424460431656,0.125,19
20,0.26397800183318054,0.125,20
21,0.2722117202268431,0.125,21
22,0.27686350435624396,0.125,22
23,0.28344895936570863,0.125,23
24,0.29035532994923857,0.125,24
25,0.29098360655737704,0.125,25
26,0.29015544041450775,0.125,26
27,0.2964509394572025,0.125,27
28,0.3,0.125,28
29,0.3029001074113856,0.125,29
30,0.30803080308030806,0.125,30
31,0.31215161649944256,0.125,31
32,0.32265446224256294,0.125,32
33,0.32828870779976715,0.125,33
34,0.32825322391559203,0.125,34
35,0.332541567695962,0.125,35
36,0.33613445378151263,0.125,36
37,0.3402692778457772,0.125,37
38,0.3504380475594493,0.125,38
39,0.351010101010101,0.125,39
40,0.35475578406169667,0.125,40
41,0.3496143958868895,0.125,41
42,0.3459037711313394,0.125,42
43,0.3513870541611625,0.125,43
44,0.35419440745672437,0.125,44
45,0.353099730458221,0.125,45
46,0.35374149659863946,0.125,46
47,0.356353591160221,0.125,47
48,0.3578363384188627,0.125,48
49,0.36083916083916084,0.125,49
50,0.3593314763231198,0.125,50
51,0.36235955056179775,0.125,51
52,0.36623748211731044,0.125,52
53,0.36546762589928056,0.125,53
54,0.37209302325581395,0.125,54
55,0.3697234352256186,0.125,55
56,0.3711340206185567,0.125,56
57,0.375,0.125,57
58,0.37257824143070045,0.125,58
59,0.37593984962406013,0.125,59
60,0.3751891074130106,0.125,60
61,0.37575757575757573,0.125,61
62,0.3744292237442922,0.125,62
63,0.3734567901234568,0.125,63
64,0.3836477987421384,0.125,64
65,0.3865814696485623,0.125,65
66,0.3827751196172249,0.125,66
67,0.3864734299516908,0.125,67
68,0.3877221324717286,0.125,68
69,0.38762214983713356,0.125,69
70,0.38825448613376834,0.125,70
71,0.39080459770114945,0.125,71
72,0.3946932006633499,0.125,72
73,0.4006677796327212,0.125,73
74,0.4013377926421405,0.125,74
75,0.40134907251264756,0.125,75
76,0.4033898305084746,0.125,76
77,0.4,0.125,77
78,0.4013722126929674,0.125,78
79,0.4027538726333907,0.125,79
80,0.40695652173913044,0.125,80
81,0.4076655052264808,0.125,81
82,0.4118673647469459,0.125,82
83,0.4131944444444444,0.125,83
84,0.4125874125874126,0.125,84
85,0.42123893805309737,0.125,85
