,X,Y,Slice
0,165.0,0.0,1.0
1,430.0,0.0,1.0
2,325.0,3.0,1.0
3,378.0,3.0,1.0
4,360.0,6.0,1.0
5,39.0,8.0,1.0
6,194.0,8.0,1.0
7,487.0,9.0,1.0
8,15.0,11.0,1.0
9,98.0,12.0,1.0
10,396.0,15.0,1.0
11,160.0,17.0,1.0
12,61.0,22.0,1.0
13,351.0,23.0,1.0
14,120.0,24.0,1.0
15,230.0,27.0,1.0
16,250.0,27.0,1.0
17,479.0,31.0,1.0
18,459.0,33.0,1.0
19,7.0,34.0,1.0
20,292.0,34.0,1.0
21,551.0,37.0,1.0
22,129.0,41.0,1.0
23,470.0,42.0,1.0
24,139.0,44.0,1.0
25,194.0,44.0,1.0
26,261.0,44.0,1.0
27,363.0,44.0,1.0
28,446.0,45.0,1.0
29,431.0,47.0,1.0
30,534.0,52.0,1.0
31,30.0,53.0,1.0
32,495.0,55.0,1.0
33,201.0,56.0,1.0
34,563.0,57.0,1.0
35,36.0,62.0,1.0
36,253.0,64.0,1.0
37,10.0,66.0,1.0
38,518.0,66.0,1.0
39,167.0,68.0,1.0
40,366.0,71.0,1.0
41,0.0,76.0,1.0
42,223.0,79.0,1.0
43,196.0,80.0,1.0
44,283.0,81.0,1.0
45,261.0,82.0,1.0
46,417.0,82.0,1.0
47,442.0,87.0,1.0
48,218.0,88.0,1.0
49,335.0,91.0,1.0
50,362.0,91.0,1.0
51,153.0,96.0,1.0
52,377.0,96.0,1.0
53,538.0,99.0,1.0
54,443.0,101.0,1.0
55,246.0,107.0,1.0
56,328.0,107.0,1.0
57,393.0,108.0,1.0
58,481.0,108.0,1.0
59,341.0,110.0,1.0
60,211.0,112.0,1.0
61,19.0,118.0,1.0
62,105.0,118.0,1.0
63,415.0,118.0,1.0
64,473.0,118.0,1.0
65,0.0,120.0,1.0
66,132.0,120.0,1.0
67,297.0,120.0,1.0
68,94.0,121.0,1.0
69,336.0,125.0,1.0
70,430.0,125.0,1.0
71,534.0,131.0,1.0
72,396.0,134.0,1.0
73,455.0,134.0,1.0
74,165.0,136.0,1.0
75,248.0,138.0,1.0
76,358.0,140.0,1.0
77,66.0,143.0,1.0
78,134.0,145.0,1.0
79,378.0,148.0,1.0
80,214.0,149.0,1.0
81,414.0,150.0,1.0
82,90.0,151.0,1.0
83,473.0,151.0,1.0
84,168.0,152.0,1.0
85,452.5,152.0,1.0
86,510.0,152.0,1.0
87,498.0,160.0,1.0
88,332.0,165.0,1.0
89,38.0,167.0,1.0
90,448.0,169.0,1.0
91,382.0,182.0,1.0
92,479.0,182.0,1.0
93,421.0,183.0,1.0
94,458.0,183.0,1.0
95,115.0,186.0,1.0
96,396.0,186.0,1.0
97,524.0,187.0,1.0
98,256.0,189.0,1.0
99,233.0,191.0,1.0
100,97.0,195.0,1.0
101,399.0,202.0,1.0
102,463.0,203.0,1.0
103,215.0,211.0,1.0
104,244.0,216.0,1.0
105,424.0,217.0,1.0
106,401.0,218.0,1.0
107,182.0,220.0,1.0
108,380.0,226.0,1.0
109,512.0,226.0,1.0
110,473.0,227.0,1.0
111,462.0,233.0,1.0
112,411.0,234.0,1.0
113,484.0,235.0,1.0
114,86.0,237.0,1.0
115,381.0,239.0,1.0
116,494.0,240.0,1.0
117,325.0,242.0,1.0
118,127.0,245.0,1.0
119,524.0,246.0,1.0
120,364.0,250.0,1.0
121,534.0,250.0,1.0
122,512.0,255.0,1.0
123,219.0,256.0,1.0
124,11.0,259.0,1.0
125,326.0,259.0,1.0
126,194.0,260.0,1.0
127,353.0,260.0,1.0
128,475.0,261.0,1.0
129,170.0,267.0,1.0
