,X,Y,Slice
0,85.0,0.0,1.0
1,101.0,0.0,1.0
2,195.0,8.0,1.0
3,17.0,12.0,1.0
4,107.0,24.0,1.0
5,231.0,26.0,1.0
6,252.0,27.0,1.0
7,482.0,30.0,1.0
8,279.0,34.0,1.0
9,460.0,34.0,1.0
10,101.0,47.0,1.0
11,493.0,57.0,1.0
12,82.0,75.0,1.0
13,202.0,81.0,1.0
14,418.0,82.0,1.0
15,91.0,93.0,1.0
16,118.0,128.0,1.0
17,145.0,130.0,1.0
18,41.0,134.0,1.0
19,82.0,134.0,1.0
20,246.0,138.0,1.0
21,433.0,142.0,1.0
22,194.0,146.0,1.0
23,39.0,147.0,1.0
24,93.0,149.0,1.0
25,117.0,183.0,1.0
26,91.0,185.0,1.0
27,350.0,185.0,1.0
28,397.0,186.0,1.0
29,234.0,190.0,1.0
30,373.0,190.0,1.0
31,99.0,194.0,1.0
32,200.0,196.0,1.0
33,232.0,203.0,1.0
34,326.0,205.0,1.0
35,469.0,319.0,1.0
36,407.0,321.0,1.0
37,44.0,323.0,1.0
38,59.0,327.0,1.0
39,377.0,330.0,1.0
40,0.0,331.0,1.0
41,391.0,331.0,1.0
42,421.0,331.0,1.0
43,148.0,333.0,1.0
44,427.0,342.0,1.0
45,356.0,346.0,1.0
46,397.0,355.0,1.0
47,61.0,358.0,1.0
48,105.0,370.0,1.0
49,410.0,371.0,1.0
50,84.0,383.0,1.0
51,105.0,383.0,1.0
52,239.0,384.0,1.0
53,291.0,386.0,1.0
54,0.0,389.0,1.0
55,401.0,390.0,1.0
56,126.0,393.0,1.0
57,178.0,397.0,1.0
58,70.0,399.0,1.0
59,0.0,401.0,1.0
60,441.0,401.0,1.0
61,456.0,402.0,1.0
62,55.0,404.0,1.0
63,290.0,405.0,1.0
64,90.0,407.0,1.0
65,377.0,407.0,1.0
66,17.0,410.0,1.0
67,496.0,410.0,1.0
68,320.0,412.0,1.0
69,54.0,415.0,1.0
70,421.0,416.0,1.0
71,507.0,419.0,1.0
72,106.0,420.0,1.0
73,84.0,441.0,1.0
74,85.0,458.0,1.0
75,114.0,458.0,1.0
76,162.0,458.0,1.0
77,179.0,460.0,1.0
78,118.0,496.0,1.0
79,106.0,575.0,1.0
80,383.0,575.0,1.0
81,97.0,0.0,5.0
82,120.0,0.0,5.0
83,289.0,0.0,5.0
84,193.0,2.0,5.0
85,385.0,23.0,5.0
86,452.0,26.0,5.0
87,480.0,33.0,5.0
88,310.0,49.0,5.0
89,481.0,57.0,5.0
90,102.0,59.0,5.0
91,119.0,68.0,5.0
92,420.0,70.0,5.0
93,45.0,78.0,5.0
94,121.0,104.0,5.0
95,51.0,110.0,5.0
96,452.0,114.0,5.0
97,141.0,115.0,5.0
98,228.0,121.0,5.0
99,37.0,125.0,5.0
100,121.0,133.0,5.0
101,47.0,134.0,5.0
102,197.0,145.0,5.0
103,95.0,151.0,5.0
104,114.0,155.0,5.0
105,56.0,160.0,5.0
106,346.0,160.0,5.0
107,318.0,164.0,5.0
108,334.0,164.0,5.0
