,X,Y,Slice
0,15.0,0.0,1.0
1,41.0,0.0,1.0
2,52.0,0.0,1.0
3,94.0,0.0,1.0
4,104.0,0.0,1.0
5,127.0,0.0,1.0
6,248.0,0.0,1.0
7,305.0,0.0,1.0
8,351.0,0.0,1.0
9,365.0,0.0,1.0
10,399.0,0.0,1.0
11,411.0,0.0,1.0
12,465.0,0.0,1.0
13,328.0,3.0,1.0
14,486.0,6.0,1.0
15,259.0,10.0,1.0
16,336.0,16.0,1.0
17,157.0,19.0,1.0
18,21.0,20.0,1.0
19,96.0,23.0,1.0
20,138.0,24.0,1.0
21,433.0,25.0,1.0
22,3.0,26.0,1.0
23,51.0,26.0,1.0
24,76.0,28.0,1.0
25,266.0,30.0,1.0
26,334.0,30.0,1.0
27,90.0,34.0,1.0
28,194.0,42.0,1.0
29,0.0,45.0,1.0
30,173.0,46.0,1.0
31,260.0,53.0,1.0
32,346.0,53.0,1.0
33,83.0,60.0,1.0
34,109.0,60.0,1.0
35,130.0,64.0,1.0
36,265.0,64.0,1.0
37,4.0,65.0,1.0
38,311.0,67.0,1.0
39,238.0,68.0,1.0
40,385.0,68.0,1.0
41,73.0,71.0,1.0
42,436.0,76.0,1.0
43,212.0,78.0,1.0
44,81.0,80.0,1.0
45,390.0,87.0,1.0
46,156.0,92.0,1.0
47,87.0,93.0,1.0
48,424.0,95.0,1.0
49,188.0,96.0,1.0
50,205.0,97.0,1.0
51,21.0,100.0,1.0
52,265.0,100.0,1.0
53,2.0,102.0,1.0
54,486.0,102.0,1.0
55,155.0,103.0,1.0
56,306.0,103.0,1.0
57,41.0,104.0,1.0
58,421.0,105.0,1.0
59,172.0,106.0,1.0
60,127.0,108.0,1.0
61,439.0,109.0,1.0
62,454.0,114.0,1.0
63,71.0,116.0,1.0
64,318.0,117.0,1.0
65,100.0,118.0,1.0
66,307.0,119.0,1.0
67,341.0,121.0,1.0
68,2.0,126.0,1.0
69,220.0,126.0,1.0
70,436.0,126.0,1.0
71,179.0,127.0,1.0
72,297.0,128.0,1.0
73,272.0,134.0,1.0
74,34.0,135.0,1.0
75,415.0,136.0,1.0
76,258.0,137.0,1.0
77,99.0,141.0,1.0
78,123.0,141.0,1.0
79,488.0,141.0,1.0
80,426.0,144.0,1.0
81,2.0,145.0,1.0
82,314.0,145.0,1.0
83,20.0,146.0,1.0
84,182.0,146.0,1.0
85,193.0,146.0,1.0
86,239.0,147.0,1.0
87,132.0,152.0,1.0
88,151.0,153.0,1.0
89,206.0,156.0,1.0
90,43.0,161.0,1.0
91,3.0,162.0,1.0
92,24.0,164.0,1.0
93,117.0,164.0,1.0
94,366.0,166.0,1.0
95,77.0,167.0,1.0
96,263.0,168.0,1.0
97,107.0,173.0,1.0
98,441.0,173.0,1.0
99,140.0,174.0,1.0
100,297.0,181.0,1.0
101,25.0,182.0,1.0
102,314.0,184.0,1.0
103,2.0,190.0,1.0
104,491.0,191.0,1.0
105,451.0,192.0,1.0
106,52.0,194.0,1.0
107,214.0,195.0,1.0
108,277.0,196.0,1.0
109,437.0,201.0,1.0
110,173.0,203.0,1.0
111,147.0,204.0,1.0
112,157.0,208.0,1.0
113,118.0,209.0,1.0
114,214.0,212.0,1.0
115,192.0,213.0,1.0
116,460.0,213.0,1.0
117,297.0,214.0,1.0
118,491.0,219.0,1.0
119,479.0,220.0,1.0
120,13.0,224.0,1.0
121,319.0,231.0,1.0
122,192.0,232.0,1.0
123,95.0,233.0,1.0
124,75.0,236.0,1.0
125,41.0,240.0,1.0
126,392.0,242.0,1.0
127,160.0,243.0,1.0
128,489.0,245.0,1.0
129,15.0,250.0,1.0
130,150.0,253.0,1.0
131,230.0,253.0,1.0
132,1.0,260.0,1.0
133,47.0,267.0,1.0
134,225.0,269.0,1.0
135,64.0,274.0,1.0
136,286.0,274.0,1.0
137,333.0,280.0,1.0
138,182.0,281.0,1.0
139,455.0,284.0,1.0
140,441.0,289.0,1.0
141,23.0,290.0,1.0
142,45.0,290.0,1.0
143,318.0,290.0,1.0
144,98.0,292.0,1.0
145,83.0,293.0,1.0
146,269.0,298.0,1.0
147,60.0,301.0,1.0
148,133.0,301.0,1.0
149,303.0,302.0,1.0
150,172.0,310.0,1.0
151,491.0,312.0,1.0
152,82.0,316.0,1.0
153,155.0,318.0,1.0
154,254.0,318.0,1.0
155,452.0,319.0,1.0
156,382.0,320.0,1.0
157,180.0,321.0,1.0
158,14.0,323.0,1.0
159,29.0,324.0,1.0
160,364.0,324.0,1.0
161,325.0,325.0,1.0
162,100.0,330.0,1.0
163,312.0,331.0,1.0
164,409.0,337.0,1.0
165,392.0,338.0,1.0
166,366.0,341.0,1.0
167,11.0,342.0,1.0
168,70.0,343.0,1.0
169,194.0,344.0,1.0
170,298.0,345.0,1.0
