,X,Y,Slice
0,31.0,0.0,1.0
1,88.0,0.0,1.0
2,179.0,0.0,1.0
3,255.0,0.0,1.0
4,311.0,0.0,1.0
5,446.0,0.0,1.0
6,481.0,0.0,1.0
7,103.0,4.0,1.0
8,40.0,19.0,1.0
9,466.0,20.0,1.0
10,291.0,22.0,1.0
11,105.0,30.0,1.0
12,389.0,45.0,1.0
13,489.0,45.0,1.0
14,449.0,48.0,1.0
15,315.0,50.0,1.0
16,112.0,52.0,1.0
17,21.0,64.0,1.0
18,307.0,78.0,1.0
19,2.0,82.0,1.0
20,181.0,92.0,1.0
21,401.0,92.0,1.0
22,482.0,92.0,1.0
23,15.0,96.0,1.0
24,342.0,100.0,1.0
25,473.0,101.0,1.0
26,381.0,109.0,1.0
27,121.0,111.0,1.0
28,161.0,111.0,1.0
29,93.0,129.0,1.0
30,4.0,131.0,1.0
31,155.0,131.0,1.0
32,38.0,132.0,1.0
33,488.0,133.0,1.0
34,491.0,146.0,1.0
35,169.0,148.0,1.0
36,3.0,153.0,1.0
37,176.0,163.0,1.0
38,132.0,171.0,1.0
39,16.0,174.0,1.0
40,213.0,185.0,1.0
41,491.0,189.0,1.0
42,37.0,195.0,1.0
43,121.0,195.0,1.0
44,491.0,209.0,1.0
45,14.0,216.0,1.0
46,148.0,225.0,1.0
47,349.0,225.0,1.0
48,139.0,238.0,1.0
49,491.0,248.0,1.0
50,120.0,258.0,1.0
51,0.0,259.0,1.0
52,491.0,267.0,1.0
53,94.0,276.0,1.0
54,11.0,279.0,1.0
55,1.0,290.0,1.0
56,489.0,294.0,1.0
57,110.0,298.0,1.0
58,3.0,303.0,1.0
59,80.0,316.0,1.0
60,115.0,317.0,1.0
61,3.0,318.0,1.0
62,475.0,318.0,1.0
63,156.0,320.0,1.0
64,174.0,326.0,1.0
65,29.0,329.0,1.0
66,356.0,332.0,1.0
67,73.0,334.0,1.0
68,459.0,334.0,1.0
69,41.0,335.0,1.0
70,124.0,338.0,1.0
71,190.0,338.0,1.0
72,164.0,343.0,1.0
73,444.0,343.0,1.0
74,13.0,354.0,1.0
75,64.0,354.0,1.0
76,354.0,359.0,1.0
77,158.0,371.0,1.0
78,3.0,379.0,1.0
79,200.0,379.0,1.0
80,54.0,380.0,1.0
81,174.0,382.0,1.0
82,317.0,382.0,1.0
83,448.0,382.0,1.0
84,22.0,383.0,1.0
85,483.0,386.0,1.0
86,3.0,396.0,1.0
87,61.0,397.0,1.0
88,379.0,404.0,1.0
89,45.0,405.0,1.0
90,155.0,407.0,1.0
91,210.0,409.0,1.0
92,341.0,410.0,1.0
93,319.0,414.0,1.0
94,182.0,418.0,1.0
95,163.0,419.0,1.0
96,223.0,419.0,1.0
97,491.0,420.0,1.0
98,1.0,421.0,1.0
99,395.0,422.0,1.0
100,241.0,428.0,1.0
101,462.0,432.0,1.0
102,451.0,435.0,1.0
103,1.0,441.0,1.0
104,12.0,443.0,1.0
105,23.0,443.0,1.0
106,416.0,444.0,1.0
107,137.0,449.0,1.0
108,459.0,453.0,1.0
109,46.0,456.0,1.0
110,423.0,458.0,1.0
111,119.0,461.0,1.0
112,151.0,461.0,1.0
113,52.0,466.0,1.0
114,489.0,466.0,1.0
115,258.0,469.0,1.0
116,1.0,471.0,1.0
117,23.0,476.0,1.0
118,69.0,478.0,1.0
119,448.0,484.0,1.0
120,491.0,489.0,1.0
121,119.0,494.0,1.0
122,158.0,498.0,1.0
123,456.0,498.0,1.0
124,243.0,502.0,1.0
125,357.0,502.0,1.0
126,431.0,506.0,1.0
127,491.0,506.0,1.0
128,0.0,512.0,1.0
129,268.0,517.0,1.0
