,X,Y,Slice
0,221.0,3.0,1.0
1,14.0,5.0,1.0
2,193.0,6.0,1.0
3,504.0,10.0,1.0
4,202.0,14.0,1.0
5,377.0,14.0,1.0
6,488.0,14.0,1.0
7,138.0,16.0,1.0
8,303.0,18.0,1.0
9,436.0,18.0,1.0
10,88.0,21.0,1.0
11,410.0,23.0,1.0
12,508.0,24.0,1.0
13,47.0,25.0,1.0
14,127.0,25.0,1.0
15,181.0,27.0,1.0
16,388.0,29.0,1.0
17,138.0,33.0,1.0
18,209.0,36.0,1.0
19,58.0,39.0,1.0
20,363.0,39.0,1.0
21,110.0,40.0,1.0
22,185.0,40.0,1.0
23,492.0,42.0,1.0
24,295.0,43.0,1.0
25,519.0,44.0,1.0
26,39.0,48.0,1.0
27,50.0,50.0,1.0
28,168.0,52.0,1.0
29,97.0,55.0,1.0
30,202.0,58.0,1.0
31,324.0,60.0,1.0
32,46.0,64.0,1.0
33,78.0,66.0,1.0
34,179.0,68.0,1.0
35,15.0,71.0,1.0
36,299.0,74.0,1.0
37,34.0,78.0,1.0
38,111.0,88.0,1.0
39,308.0,89.0,1.0
40,504.0,89.0,1.0
41,343.0,90.0,1.0
42,261.0,96.0,1.0
43,387.0,96.0,1.0
44,499.0,100.0,1.0
45,337.0,104.0,1.0
46,72.0,106.0,1.0
47,517.0,106.0,1.0
48,251.0,110.0,1.0
49,236.0,111.0,1.0
50,307.0,113.0,1.0
51,282.0,121.0,1.0
52,422.0,121.0,1.0
53,500.0,121.0,1.0
54,314.0,123.0,1.0
55,345.0,123.0,1.0
56,519.0,127.0,1.0
57,202.0,133.0,1.0
58,257.0,133.0,1.0
59,465.0,136.0,1.0
60,222.0,143.0,1.0
61,388.0,143.0,1.0
62,183.0,152.0,1.0
63,344.0,153.0,1.0
64,284.0,156.0,1.0
65,254.0,157.0,1.0
66,375.0,157.0,1.0
67,461.0,161.0,1.0
68,201.0,162.0,1.0
69,170.0,168.0,1.0
70,316.0,168.0,1.0
71,469.0,175.0,1.0
72,282.0,177.0,1.0
73,439.0,180.0,1.0
74,319.0,182.0,1.0
75,331.0,182.0,1.0
76,59.0,187.0,1.0
77,25.0,188.0,1.0
78,272.0,190.0,1.0
79,419.0,191.0,1.0
80,329.0,195.0,1.0
81,55.0,200.0,1.0
82,97.0,200.0,1.0
83,109.0,201.0,1.0
84,84.0,202.0,1.0
85,17.0,203.0,1.0
86,162.0,203.0,1.0
87,271.0,204.0,1.0
88,228.0,207.0,1.0
89,344.0,209.0,1.0
90,77.0,211.0,1.0
91,392.0,211.0,1.0
92,51.0,214.0,1.0
93,431.0,218.0,1.0
94,373.0,219.0,1.0
95,162.0,220.0,1.0
96,43.0,225.0,1.0
97,345.0,225.0,1.0
98,174.0,238.0,1.0
99,314.0,241.0,1.0
100,364.0,241.0,1.0
101,187.0,243.0,1.0
102,346.0,250.0,1.0
103,367.0,253.0,1.0
104,179.0,254.0,1.0
105,230.0,257.0,1.0
106,439.0,257.0,1.0
107,310.0,262.0,1.0
108,187.0,265.0,1.0
109,495.0,267.0,1.0
110,323.0,268.0,1.0
111,513.0,269.0,1.0
112,286.0,272.0,1.0
113,197.0,275.0,1.0
114,228.0,277.0,1.0
115,433.0,277.0,1.0
116,485.0,279.0,1.0
117,208.0,282.0,1.0
118,118.0,283.0,1.0
119,41.0,288.0,1.0
120,19.0,290.0,1.0
121,237.0,290.0,1.0
122,184.0,294.0,1.0
123,247.0,297.0,1.0
124,155.0,302.0,1.0
125,446.0,314.0,1.0
126,111.0,329.0,1.0
127,417.0,333.0,1.0
128,20.0,337.0,1.0
129,452.0,339.0,1.0
130,332.0,341.0,1.0
131,440.0,347.0,1.0
132,244.0,348.0,1.0
133,488.0,353.0,1.0
134,66.0,358.0,1.0
135,172.0,358.0,1.0
136,518.0,358.0,1.0
137,289.0,365.0,1.0
138,344.0,373.0,1.0
139,107.0,379.0,1.0
140,298.0,382.0,1.0
141,235.0,383.0,1.0
142,176.0,386.0,1.0
143,422.0,389.0,1.0
