,X,Y,Slice
0,173.0,0.0,1.0
1,418.0,0.0,1.0
2,291.0,5.0,1.0
3,30.0,6.0,1.0
4,106.0,6.0,1.0
5,333.0,6.0,1.0
6,211.0,8.0,1.0
7,70.0,9.0,1.0
8,267.0,9.0,1.0
9,245.0,10.0,1.0
10,386.0,13.0,1.0
11,435.0,13.0,1.0
12,501.0,14.0,1.0
13,307.0,17.0,1.0
14,181.0,19.0,1.0
15,477.0,21.0,1.0
16,464.0,22.0,1.0
17,338.0,23.0,1.0
18,28.0,34.0,1.0
19,325.0,34.0,1.0
20,383.0,34.0,1.0
21,94.0,35.0,1.0
22,268.0,36.0,1.0
23,164.0,41.0,1.0
24,317.0,41.0,1.0
25,5.0,42.0,1.0
26,75.0,47.0,1.0
27,215.0,48.0,1.0
28,447.0,48.0,1.0
29,25.0,49.0,1.0
30,143.0,51.0,1.0
31,400.0,52.0,1.0
32,484.0,53.0,1.0
33,66.0,57.0,1.0
34,251.0,57.0,1.0
35,423.0,63.0,1.0
36,270.0,66.0,1.0
37,91.0,69.0,1.0
38,308.0,69.0,1.0
39,515.0,69.0,1.0
40,18.0,72.0,1.0
41,38.0,73.0,1.0
42,67.0,75.0,1.0
43,477.0,76.0,1.0
44,102.0,78.0,1.0
45,348.0,78.0,1.0
46,145.0,79.0,1.0
47,501.0,81.0,1.0
48,248.0,83.0,1.0
49,130.0,84.0,1.0
50,301.0,86.0,1.0
51,156.0,90.0,1.0
52,20.0,91.0,1.0
53,120.0,91.0,1.0
54,1.0,94.0,1.0
55,493.0,94.0,1.0
56,352.0,98.0,1.0
57,201.0,102.0,1.0
58,421.0,102.0,1.0
59,0.0,105.0,1.0
60,222.0,109.0,1.0
61,253.0,110.0,1.0
62,118.0,112.0,1.0
63,175.0,113.0,1.0
64,401.0,114.0,1.0
65,447.0,114.0,1.0
66,135.0,115.0,1.0
67,333.0,120.0,1.0
68,359.0,126.0,1.0
69,291.0,132.0,1.0
70,5.0,133.0,1.0
71,106.0,134.0,1.0
72,202.0,134.0,1.0
73,169.0,138.0,1.0
74,258.0,142.0,1.0
75,50.0,152.0,1.0
76,142.0,154.0,1.0
77,340.0,154.0,1.0
78,458.0,156.0,1.0
79,245.0,158.0,1.0
80,424.0,170.0,1.0
81,305.0,174.0,1.0
82,112.0,175.0,1.0
83,398.0,175.0,1.0
84,484.0,178.0,1.0
85,350.0,179.0,1.0
86,443.0,180.0,1.0
87,32.0,182.0,1.0
88,472.0,184.0,1.0
89,274.0,185.0,1.0
90,72.0,186.0,1.0
91,511.0,187.0,1.0
92,98.0,188.0,1.0
93,288.0,189.0,1.0
94,338.0,191.0,1.0
95,404.0,198.0,1.0
96,233.0,202.0,1.0
97,156.0,204.0,1.0
98,214.0,204.0,1.0
99,80.0,205.0,1.0
100,131.0,207.0,1.0
101,479.0,208.0,1.0
102,434.0,212.0,1.0
103,420.0,213.0,1.0
104,234.0,214.0,1.0
105,507.0,216.0,1.0
106,181.0,217.0,1.0
107,375.0,217.0,1.0
108,315.0,218.0,1.0
109,160.0,221.0,1.0
110,477.0,222.0,1.0
111,4.0,223.0,1.0
112,258.0,223.0,1.0
113,425.0,225.0,1.0
114,130.0,231.0,1.0
115,270.0,232.0,1.0
116,409.0,233.0,1.0
117,89.0,237.0,1.0
118,173.0,238.0,1.0
119,64.0,242.0,1.0
120,261.0,244.0,1.0
121,308.0,244.0,1.0
122,422.0,249.0,1.0
123,142.0,250.0,1.0
124,101.0,252.0,1.0
125,26.0,257.0,1.0
126,293.0,257.0,1.0
127,135.0,262.0,1.0
128,497.0,264.0,1.0
129,284.0,265.0,1.0
130,251.0,267.0,1.0
131,66.0,269.0,1.0
132,329.0,273.0,1.0
133,240.0,274.0,1.0
134,405.0,274.0,1.0
135,167.0,276.0,1.0
136,143.0,277.0,1.0
137,483.0,281.0,1.0
138,352.0,283.0,1.0
139,98.0,285.0,1.0
140,470.0,285.0,1.0
141,222.0,286.0,1.0
142,324.0,289.0,1.0
143,360.0,292.0,1.0
144,444.0,292.0,1.0
145,338.0,294.0,1.0
146,88.0,295.0,1.0
147,75.0,302.0,1.0
148,124.0,303.0,1.0
149,458.0,305.0,1.0
150,109.0,306.0,1.0
151,396.0,306.0,1.0
152,33.0,313.0,1.0
153,226.0,313.0,1.0
154,465.0,313.0,1.0
155,214.0,318.0,1.0
156,493.0,318.0,1.0
157,315.0,320.0,1.0
158,248.0,321.0,1.0
159,335.0,321.0,1.0
160,435.0,321.0,1.0
161,158.0,323.0,1.0
162,507.0,323.0,1.0
163,95.0,324.0,1.0
164,51.0,327.0,1.0
165,236.0,328.0,1.0
166,460.0,329.0,1.0
167,518.0,329.0,1.0
168,134.0,334.0,1.0
169,344.0,336.0,1.0
170,206.0,340.0,1.0
171,400.0,340.0,1.0
172,267.0,341.0,1.0
173,315.0,346.0,1.0
174,146.0,348.0,1.0
175,432.0,349.0,1.0
176,388.0,350.0,1.0
177,495.0,350.0,1.0
178,514.0,350.0,1.0
179,50.0,358.0,1.0
180,243.0,359.0,1.0
181,272.0,361.0,1.0
182,440.0,361.0,1.0
183,474.0,361.0,1.0
184,27.0,362.0,1.0
185,107.0,362.0,1.0
186,366.0,364.0,1.0
187,335.0,365.0,1.0
188,422.0,367.0,1.0
189,187.0,369.0,1.0
190,511.0,369.0,1.0
191,138.0,370.0,1.0
192,481.0,378.0,1.0
193,374.0,379.0,1.0
194,98.0,380.0,1.0
195,33.0,381.0,1.0
196,502.0,381.0,1.0
197,228.0,390.0,1.0
198,151.0,396.0,1.0
199,447.0,397.0,1.0
200,120.0,400.0,1.0
201,94.0,401.0,1.0
202,504.0,401.0,1.0
203,277.0,405.0,1.0
204,315.0,405.0,1.0
205,419.0,406.0,1.0
206,17.0,411.0,1.0
207,131.0,411.0,1.0
208,146.0,415.0,1.0
209,291.0,415.0,1.0
210,214.0,416.0,1.0
211,467.0,417.0,1.0
212,514.0,417.0,1.0
213,164.0,419.0,1.0
214,0.0,421.0,1.0
215,307.0,428.0,1.0
216,476.0,428.0,1.0
217,415.0,431.0,1.0
218,369.0,432.0,1.0
219,441.0,433.0,1.0
220,50.0,434.0,1.0
221,223.0,434.0,1.0
222,149.0,436.0,1.0
223,17.0,440.0,1.0
224,388.0,441.0,1.0
225,243.0,442.0,1.0
226,175.0,444.0,1.0
227,333.0,445.0,1.0
228,358.0,445.0,1.0
229,67.0,447.0,1.0
230,252.0,447.0,1.0
231,309.0,448.0,1.0
232,16.0,452.0,1.0
233,51.0,452.0,1.0
234,291.0,452.0,1.0
235,472.0,452.0,1.0
236,131.0,453.0,1.0
237,451.0,453.0,1.0
238,377.0,455.0,1.0
239,301.0,457.0,1.0
240,225.0,458.0,1.0
241,519.0,460.0,1.0
242,72.0,462.0,1.0
243,43.0,463.0,1.0
244,255.0,463.0,1.0
245,484.0,463.0,1.0
246,187.0,465.0,1.0
247,452.0,468.0,1.0
248,151.0,470.0,1.0
249,385.0,472.0,1.0
250,411.0,472.0,1.0
251,91.0,473.0,1.0
252,245.0,473.0,1.0
253,132.0,476.0,1.0
254,282.0,476.0,1.0
255,144.0,479.0,1.0
256,37.0,481.0,1.0
257,426.0,482.0,1.0
258,337.0,485.0,1.0
259,476.0,487.0,1.0
260,392.0,489.0,1.0
261,134.0,490.0,1.0
262,245.0,490.0,1.0
263,165.0,491.0,1.0
264,269.0,491.0,1.0
265,0.0,501.0,1.0
266,477.0,516.0,1.0
267,7.0,0.0,29.0
268,176.0,0.0,29.0
269,199.0,0.0,29.0
270,23.0,6.0,29.0
271,80.0,6.0,29.0
272,236.0,7.0,29.0
273,292.0,7.0,29.0
274,148.0,8.0,29.0
275,496.0,12.0,29.0
276,102.0,13.0,29.0
277,385.0,13.0,29.0
278,407.0,16.0,29.0
279,480.0,21.0,29.0
280,71.0,22.0,29.0
281,266.0,26.0,29.0
282,346.0,26.0,29.0
283,25.0,31.0,29.0
284,326.0,31.0,29.0
285,183.0,33.0,29.0
286,400.0,33.0,29.0
