,X,Y,Slice
0,74.0,0.0,1.0
1,127.0,0.0,1.0
2,152.0,0.0,1.0
3,189.0,0.0,1.0
4,259.0,0.0,1.0
5,404.0,0.0,1.0
6,447.0,0.0,1.0
7,499.0,0.0,1.0
8,519.0,0.0,1.0
9,103.0,1.0,1.0
10,388.0,1.0,1.0
11,466.0,3.0,1.0
12,226.0,11.0,1.0
13,283.0,12.0,1.0
14,305.0,16.0,1.0
15,416.0,17.0,1.0
16,448.0,17.0,1.0
17,350.0,22.0,1.0
18,200.0,24.0,1.0
19,519.0,25.0,1.0
20,248.0,26.0,1.0
21,58.0,27.0,1.0
22,472.0,27.0,1.0
23,329.0,28.0,1.0
24,309.0,31.0,1.0
25,155.0,35.0,1.0
26,111.0,38.0,1.0
27,191.0,39.0,1.0
28,162.0,50.0,1.0
29,500.0,54.0,1.0
30,79.0,55.0,1.0
31,373.0,56.0,1.0
32,519.0,56.0,1.0
33,202.0,57.0,1.0
34,316.0,57.0,1.0
35,106.0,59.0,1.0
36,152.0,65.0,1.0
37,517.0,71.0,1.0
38,211.0,75.0,1.0
39,109.0,77.0,1.0
40,165.0,81.0,1.0
41,28.0,84.0,1.0
42,128.0,86.0,1.0
43,238.0,86.0,1.0
44,91.0,87.0,1.0
45,62.0,91.0,1.0
46,374.0,98.0,1.0
47,142.0,99.0,1.0
48,218.0,99.0,1.0
49,62.0,106.0,1.0
50,193.0,109.0,1.0
51,514.0,112.0,1.0
52,375.0,113.0,1.0
53,147.0,115.0,1.0
54,94.0,121.0,1.0
55,197.0,122.0,1.0
56,169.0,123.0,1.0
57,275.0,125.0,1.0
58,62.0,127.0,1.0
59,147.0,127.0,1.0
60,415.0,131.0,1.0
61,121.0,133.0,1.0
62,101.0,135.0,1.0
63,401.0,137.0,1.0
64,367.0,140.0,1.0
65,408.0,156.0,1.0
66,62.0,159.0,1.0
67,15.0,161.0,1.0
68,378.0,162.0,1.0
69,83.0,163.0,1.0
70,408.0,169.0,1.0
71,519.0,169.0,1.0
72,88.0,172.0,1.0
73,352.0,174.0,1.0
74,387.0,174.0,1.0
75,62.0,177.0,1.0
76,123.0,177.0,1.0
77,189.0,192.0,1.0
78,370.0,195.0,1.0
79,92.0,201.0,1.0
80,356.0,204.0,1.0
81,201.0,211.0,1.0
82,372.0,226.0,1.0
83,13.0,245.0,1.0
84,141.0,251.0,1.0
85,81.0,256.0,1.0
86,498.0,261.0,1.0
87,263.0,265.0,1.0
88,277.0,267.0,1.0
89,117.0,269.0,1.0
90,137.0,269.0,1.0
91,87.0,277.0,1.0
92,519.0,281.0,1.0
93,111.0,288.0,1.0
94,505.0,289.0,1.0
95,120.0,296.0,1.0
96,516.0,297.0,1.0
97,519.0,311.0,1.0
98,30.0,312.0,1.0
99,86.0,317.0,1.0
100,149.0,319.0,1.0
101,176.0,319.0,1.0
102,498.0,323.0,1.0
103,139.0,324.0,1.0
104,353.0,325.0,1.0
105,124.0,362.0,1.0
106,28.0,364.0,1.0
107,314.0,366.0,1.0
108,146.0,368.0,1.0
109,487.0,369.0,1.0
110,15.0,379.0,1.0
111,324.0,388.0,1.0
112,510.0,395.0,1.0
113,16.0,406.0,1.0
114,519.0,419.0,1.0
115,519.0,436.0,1.0
116,17.0,437.0,1.0
117,31.0,438.0,1.0
118,83.0,442.0,1.0
119,362.0,447.0,1.0
120,25.0,450.0,1.0
121,492.0,452.0,1.0
