,X,Y,Slice
0,69.0,0.0,1.0
1,88.0,0.0,1.0
2,114.0,0.0,1.0
3,130.0,0.0,1.0
4,176.0,0.0,1.0
5,212.0,0.0,1.0
6,230.0,0.0,1.0
7,261.0,0.0,1.0
8,348.0,0.0,1.0
9,399.0,0.0,1.0
10,467.0,0.0,1.0
11,445.0,2.0,1.0
12,189.0,10.0,1.0
13,71.0,15.0,1.0
14,114.0,15.0,1.0
15,218.0,18.0,1.0
16,274.0,19.0,1.0
17,33.0,25.0,1.0
18,381.0,25.0,1.0
19,211.0,33.0,1.0
20,496.0,39.0,1.0
21,108.0,40.0,1.0
22,475.0,41.0,1.0
23,141.0,45.0,1.0
24,247.0,47.0,1.0
25,49.0,52.0,1.0
26,344.0,55.0,1.0
27,64.0,60.0,1.0
28,93.0,66.0,1.0
29,121.0,73.0,1.0
30,41.0,75.0,1.0
31,334.0,76.0,1.0
32,209.0,77.0,1.0
33,234.0,80.0,1.0
34,418.0,81.0,1.0
35,366.0,82.0,1.0
36,519.0,83.0,1.0
37,77.0,84.0,1.0
38,345.0,84.0,1.0
39,465.0,84.0,1.0
40,54.0,85.0,1.0
41,199.0,85.0,1.0
42,0.0,86.0,1.0
43,95.0,86.0,1.0
44,472.0,96.0,1.0
45,342.0,97.0,1.0
46,168.0,99.0,1.0
47,270.0,100.0,1.0
48,232.0,103.0,1.0
49,391.0,103.0,1.0
50,92.0,104.0,1.0
51,347.0,107.0,1.0
52,407.0,109.0,1.0
53,469.0,110.0,1.0
54,169.0,115.0,1.0
55,287.0,117.0,1.0
56,84.0,120.0,1.0
57,131.0,123.0,1.0
58,37.0,124.0,1.0
59,329.0,124.0,1.0
60,299.0,126.0,1.0
61,243.0,127.0,1.0
62,264.0,127.0,1.0
63,366.0,127.0,1.0
64,516.0,127.0,1.0
65,230.0,128.0,1.0
66,418.0,128.0,1.0
67,142.0,129.0,1.0
68,310.0,132.0,1.0
69,89.0,135.0,1.0
70,402.0,138.0,1.0
71,8.0,141.0,1.0
72,186.0,141.0,1.0
73,44.0,143.0,1.0
74,59.0,143.0,1.0
75,323.0,143.0,1.0
76,519.0,143.0,1.0
77,176.0,145.0,1.0
78,23.0,146.0,1.0
79,267.0,147.0,1.0
80,432.0,147.0,1.0
81,70.0,148.0,1.0
82,231.0,148.0,1.0
83,416.0,148.0,1.0
84,386.0,151.0,1.0
85,479.0,151.0,1.0
86,400.0,152.0,1.0
