 ,Area,Mean,Min,Max,X,Y,Slice
1,0,127,127,127,168,382,1
2,0,142,142,142,166,354,1
3,0,141,141,141,167,320,1
4,0,151,151,151,168,302,1
5,0,139,139,139,173,267,1
6,0,146,146,146,182,225,1
7,0,174,174,174,183,203,1
8,0,158,158,158,177,185,1
9,0,140,140,140,196,219,1
10,0,134,134,134,272,439,1
11,0,143,143,143,153,105,1
12,0,139,139,139,127,45,1
13,0,133,133,133,123,23,1
14,0,155,155,155,176,23,1
15,0,151,151,151,184,33,1
16,0,150,150,150,192,47,1
17,0,148,148,148,204,58,1
18,0,157,157,157,220,76,1
19,0,148,148,148,234,90,1
20,0,145,145,145,256,97,1
21,0,136,136,136,275,100,1
22,0,141,141,141,309,99,1
23,0,149,149,149,338,91,1
24,0,139,139,139,364,92,1
25,0,140,140,140,380,98,1
26,0,139,139,139,448,132,1
27,0,137,137,137,446,157,1
28,0,130,130,130,450,175,1
29,0,144,144,144,458,193,1
30,0,135,135,135,465,207,1
31,0,130,130,130,477,226,1
32,0,139,139,139,487,238,1
33,0,138,138,138,502,248,1
34,0,137,137,137,520,263,1
35,0,120,120,120,466,303,1
36,0,133,133,133,453,311,1
37,0,122,122,122,448,330,1
38,0,135,135,135,448,345,1
39,0,155,155,155,454,362,1
40,0,136,136,136,477,386,1
41,0,131,131,131,487,397,1
42,0,134,134,134,359,283,1
43,0,149,149,149,339,277,1
44,0,147,147,147,327,262,1
45,0,141,141,141,377,290,1
46,0,144,144,144,395,295,1
47,0,134,134,134,410,296,1
48,0,138,138,138,298,162,1
49,0,145,145,145,296,136,1
50,0,148,148,148,299,123,1
51,0,140,140,140,302,108,1
52,0,131,131,131,323,69,1
53,0,130,130,130,336,47,1
54,0,152,152,152,353,24,1
55,0,121,121,121,172,436,2
56,0,132,132,132,168,370,2
57,0,147,147,147,165,350,2
58,0,154,154,154,168,262,2
59,0,149,149,149,169,247,2
60,0,158,158,158,170,234,2
61,0,149,149,149,185,217,2
62,0,142,142,142,164,134,2
63,0,134,134,134,156,112,2
64,0,134,134,134,124,44,2
65,0,137,137,137,123,20,2
66,0,151,151,151,230,304,2
67,0,149,149,149,168,305,2
68,0,159,159,159,276,95,2
69,0,145,145,145,260,91,2
70,0,147,147,147,237,88,2
71,0,153,153,153,218,76,2
72,0,142,142,142,206,61,2
73,0,159,159,159,198,51,2
74,0,159,159,159,181,33,2
75,0,148,148,148,163,16,2
76,0,143,143,143,305,107,2
77,0,145,145,145,300,120,2
78,0,150,150,150,297,130,2
79,0,158,158,158,294,144,2
80,0,163,163,163,294,165,2
81,0,168,168,168,297,177,2
82,0,154,154,154,303,196,2
83,0,150,150,150,307,204,2
84,0,155,155,155,306,216,2
85,0,154,154,154,311,232,2
86,0,137,137,137,317,240,2
87,0,140,140,140,324,251,2
88,0,149,149,149,346,280,2
89,0,143,143,143,359,287,2
90,0,149,149,149,379,290,2
91,0,142,142,142,397,294,2
92,0,133,133,133,421,287,2
93,0,135,135,135,442,287,2
94,0,126,126,126,459,310,2
95,0,122,122,122,452,321,2
96,0,131,131,131,449,331,2
97,0,131,131,131,451,359,2
98,0,127,127,127,448,346,2
99,0,139,139,139,459,376,2
100,0,133,133,133,466,388,2
101,0,130,130,130,487,400,2
102,0,137,137,137,510,411,2
103,0,130,130,130,530,417,2
104,0,133,133,133,487,235,2
105,0,138,138,138,478,225,2
106,0,142,142,142,471,218,2
107,0,142,142,142,464,208,2
108,0,131,131,131,453,181,2
109,0,150,150,150,445,152,2
110,0,135,135,135,446,142,2
111,0,146,146,146,446,129,2
112,0,145,145,145,456,109,2
113,0,137,137,137,467,95,2
114,0,149,149,149,477,70,2
115,0,148,148,148,488,54,2
116,0,154,154,154,494,44,2
117,0,135,135,135,503,35,2
118,0,144,144,144,310,89,2
119,0,151,151,151,313,77,2
120,0,136,136,136,319,65,2
121,0,148,148,148,324,49,2
122,0,148,148,148,330,38,2
123,0,151,151,151,335,31,2
124,0,154,154,154,339,22,2
125,0,145,145,145,350,10,2
126,0,146,146,146,513,19,2
127,0,143,143,143,526,6,2
128,0,135,135,135,467,138,2
129,0,140,140,140,484,137,2
130,0,146,146,146,507,134,2
131,0,146,146,146,534,117,2
132,0,143,143,143,545,99,2
133,0,146,146,146,417,117,2
134,0,155,155,155,403,110,2
135,0,141,141,141,386,99,2
136,0,148,148,148,157,8,3
137,0,143,143,143,166,15,3
138,0,156,156,156,174,27,3
139,0,157,157,157,185,34,3
140,0,147,147,147,195,43,3
141,0,147,147,147,206,57,3
142,0,149,149,149,213,69,3
143,0,155,155,155,234,85,3
144,0,148,148,148,269,94,3
145,0,141,141,141,291,94,3
146,0,138,138,138,337,89,3
147,0,148,148,148,354,88,3
148,0,141,141,141,368,91,3
149,0,145,145,145,383,96,3
150,0,152,152,152,398,107,3
151,0,146,146,146,410,117,3
152,0,137,137,137,428,126,3
153,0,142,142,142,446,132,3
154,0,145,145,145,459,136,3
155,0,134,134,134,471,137,3
156,0,132,132,132,485,138,3
157,0,151,151,151,508,134,3
158,0,148,148,148,521,125,3
159,0,156,156,156,534,113,3
160,0,147,147,147,542,103,3
161,0,142,142,142,518,8,3
162,0,143,143,143,510,19,3
163,0,144,144,144,502,33,3
164,0,143,143,143,495,44,3
165,0,158,158,158,485,55,3
166,0,149,149,149,479,65,3
167,0,138,138,138,474,78,3
168,0,146,146,146,465,94,3
169,0,143,143,143,453,113,3
170,0,154,154,154,444,148,3
171,0,135,135,135,448,167,3
172,0,127,127,127,452,181,3
173,0,133,133,133,459,201,3
174,0,136,136,136,467,214,3
175,0,140,140,140,473,225,3
176,0,151,151,151,494,235,3
177,0,139,139,139,508,246,3
178,0,146,146,146,521,256,3
179,0,139,139,139,536,290,3
180,0,153,153,153,524,290,3
181,0,138,138,138,507,293,3
182,0,147,147,147,491,296,3
183,0,146,146,146,482,302,3
184,0,136,136,136,469,301,3
185,0,145,145,145,448,308,3
186,0,137,137,137,437,297,3
187,0,138,138,138,420,299,3
188,0,149,149,149,397,297,3
189,0,151,151,151,378,285,3
190,0,155,155,155,353,284,3
191,0,161,161,161,336,275,3
192,0,148,148,148,323,262,3
193,0,147,147,147,318,250,3
194,0,145,145,145,314,240,3
195,0,134,134,134,311,230,3
196,0,140,140,140,309,220,3
197,0,155,155,155,304,210,3
198,0,162,162,162,300,197,3
199,0,154,154,154,300,184,3
200,0,158,158,158,295,173,3
201,0,152,152,152,295,159,3
202,0,141,141,141,298,146,3
203,0,147,147,147,297,133,3
204,0,143,143,143,303,118,3
205,0,141,141,141,177,228,3
206,0,149,149,149,168,281,3
207,0,145,145,145,165,358,3
208,0,142,142,142,180,380,3
209,0,133,133,133,177,418,3
210,0,129,129,129,172,449,3
211,0,152,152,152,234,314,3
212,0,150,150,150,221,288,3
213,0,152,152,152,198,237,3
214,0,149,149,149,147,90,3
215,0,131,131,131,125,43,3
216,0,146,146,146,177,179,3
217,0,142,142,142,175,474,4
218,0,129,129,129,175,456,4
219,0,128,128,128,169,417,4
220,0,143,143,143,168,362,4
221,0,152,152,152,177,323,4
222,0,152,152,152,167,305,4
223,0,157,157,157,167,282,4
224,0,147,147,147,185,219,4
225,0,159,159,159,185,202,4
226,0,141,141,141,166,142,4
227,0,147,147,147,158,116,4
228,0,149,149,149,225,289,4
229,0,154,154,154,257,378,4
230,0,142,142,142,263,404,4
231,0,145,145,145,272,482,4
232,0,147,147,147,309,223,4
233,0,147,147,147,316,245,4
234,0,148,148,148,321,255,4
235,0,154,154,154,336,274,4
236,0,151,151,151,349,281,4
237,0,145,145,145,358,283,4
238,0,137,137,137,376,288,4
239,0,148,148,148,399,294,4
240,0,140,140,140,432,299,4
241,0,130,130,130,453,310,4
242,0,125,125,125,485,298,4
243,0,150,150,150,510,295,4
244,0,149,149,149,535,290,4
245,0,124,124,124,450,334,4
