 ,Area,Mean,Min,Max,X,Y,Slice
1,0,111,111,111,196.667,66.667,1
2,0,101,101,101,206.000,105.333,1
3,0,109,109,109,214.667,152.667,1
4,0,109,109,109,210.000,227.333,1
5,0,129,129,129,197.333,284.000,1
6,0,112,112,112,206.000,300.000,1
7,0,111,111,111,238.000,340.000,1
8,0,124,124,124,280.667,364.000,1
9,0,126,126,126,298.000,392.000,1
10,0,121,121,121,303.333,403.333,1
11,0,113,113,113,298.000,434.000,1
12,0,120,120,120,294.667,463.333,1
13,0,108,108,108,296.667,486.000,1
14,0,112,112,112,296.667,472.667,1
15,0,119,119,119,292.000,516.000,1
16,0,106,106,106,371.333,506.000,1
17,0,107,107,107,392.000,489.333,1
18,0,105,105,105,400.000,475.333,1
19,0,116,116,116,193.333,486.667,1
20,0,110,110,110,158.000,456.000,1
21,0,123,123,123,134.667,428.667,1
22,0,113,113,113,118.000,390.667,1
23,0,119,119,119,105.333,322.667,1
24,0,126,126,126,105.333,303.333,1
25,0,114,114,114,92.000,271.333,1
26,0,111,111,111,86.000,244.667,1
27,0,109,109,109,87.333,223.333,1
28,0,108,108,108,90.667,204.000,1
29,0,121,121,121,96.667,186.667,1
30,0,110,110,110,105.333,142.000,1
31,0,105,105,105,7.333,149.333,1
32,0,97,97,97,14.000,104.667,1
33,0,105,105,105,20.000,85.333,1
34,0,102,102,102,22.667,69.333,1
35,0,100,100,100,17.333,204.000,1
36,0,118,118,118,312.000,82.667,1
37,0,117,117,117,320.000,107.333,1
38,0,113,113,113,305.333,59.333,1
39,0,116,116,116,323.333,124.667,1
40,0,105,105,105,322.000,157.333,1
41,0,123,123,123,325.333,171.333,1
42,0,114,114,114,317.333,201.333,1
43,0,113,113,113,304.667,237.333,1
44,0,120,120,120,299.333,248.667,1
45,0,118,118,118,293.333,267.333,1
46,0,111,111,111,290.000,284.000,1
47,0,117,117,117,287.333,300.667,1
48,0,102,102,102,289.333,322.667,1
49,0,110,110,110,374.667,144.000,1
50,0,101,101,101,374.667,122.000,1
51,0,96,96,96,376.667,108.000,1
52,0,104,104,104,375.333,95.333,1
53,0,109,109,109,378.000,73.333,1
54,0,102,102,102,204.667,84.000,2
55,0,112,112,112,213.333,105.333,2
56,0,101,101,101,218.667,144.667,2
57,0,103,103,103,218.667,170.000,2
58,0,99,99,99,212.000,225.333,2
59,0,117,117,117,202.000,252.667,2
60,0,124,124,124,202.000,296.000,2
61,0,122,122,122,284.000,370.000,2
62,0,116,116,116,298.000,389.333,2
63,0,116,116,116,302.000,404.667,2
64,0,115,115,115,301.333,420.000,2
65,0,119,119,119,296.667,453.333,2
66,0,110,110,110,294.667,486.000,2
67,0,127,127,127,290.667,497.333,2
68,0,125,125,125,291.333,516.667,2
69,0,118,118,118,369.333,510.000,2
70,0,118,118,118,386.667,490.000,2
71,0,111,111,111,324.667,131.333,2
72,0,105,105,105,317.333,98.000,2
73,0,117,117,117,303.333,65.333,2
74,0,105,105,105,86.000,191.333,2
75,0,105,105,105,88.667,235.333,2
76,0,111,111,111,92.000,268.000,2
77,0,124,124,124,95.333,290.667,2
78,0,130,130,130,105.333,306.667,2
79,0,125,125,125,114.000,323.333,2
80,0,120,120,120,117.333,362.667,2
81,0,109,109,109,123.333,410.667,2
82,0,121,121,121,135.333,432.667,2
83,0,108,108,108,168.000,456.000,2
84,0,110,110,110,182.667,474.000,2
85,0,106,106,106,199.333,492.000,2
86,0,109,109,109,287.333,347.333,2
87,0,122,122,122,285.333,323.333,2
88,0,123,123,123,284.667,300.000,2
89,0,115,115,115,293.333,268.667,2
90,0,101,101,101,314.667,76.667,3
91,0,100,100,100,336.000,124.667,3
92,0,82,82,82,188.000,62.667,3
93,0,93,93,93,198.667,98.000,3
94,0,100,100,100,209.333,125.333,3
95,0,105,105,105,216.667,145.333,3
96,0,104,104,104,220.000,171.333,3
97,0,110,110,110,217.333,199.333,3
98,0,93,93,93,208.000,246.000,3
99,0,103,103,103,200.667,293.333,3
100,0,112,112,112,286.000,345.333,3
101,0,111,111,111,288.667,331.333,3
102,0,111,111,111,288.000,320.000,3
103,0,124,124,124,288.000,304.000,3
104,0,107,107,107,292.667,282.000,3
105,0,115,115,115,247.333,340.667,3
106,0,116,116,116,302.000,402.667,3
107,0,117,117,117,300.667,421.333,3
108,0,123,123,123,298.667,438.667,3
109,0,122,122,122,296.667,452.000,3
110,0,120,120,120,295.333,469.333,3
111,0,130,130,130,292.667,492.667,3
112,0,116,116,116,293.333,510.000,3
113,0,102,102,102,374.000,504.667,3
114,0,102,102,102,384.000,497.333,3
115,0,110,110,110,388.667,488.667,3
116,0,133,133,133,396.667,480.000,3
117,0,97,97,97,408.000,466.667,3
118,0,104,104,104,198.667,490.667,3
119,0,110,110,110,171.333,467.333,3
120,0,123,123,123,150.000,446.000,3
121,0,108,108,108,128.000,420.000,3
122,0,123,123,123,114.667,398.667,3
123,0,118,118,118,115.333,381.333,3
124,0,123,123,123,108.667,335.333,3
125,0,115,115,115,101.333,302.000,3
126,0,119,119,119,90.000,256.000,3
127,0,107,107,107,85.333,193.333,3
128,0,109,109,109,56.000,143.333,3
129,0,98,98,98,40.667,123.333,3
130,0,117,117,117,114.000,96.667,4
131,0,100,100,100,108.000,119.333,4
132,0,126,126,126,104.667,144.000,4
133,0,113,113,113,90.000,186.667,4
134,0,108,108,108,90.667,212.000,4
135,0,103,103,103,89.333,231.333,4
136,0,119,119,119,95.333,273.333,4
137,0,116,116,116,103.333,305.333,4
138,0,116,116,116,115.333,318.667,4
139,0,143,143,143,118.000,343.333,4
140,0,114,114,114,116.667,363.333,4
141,0,116,116,116,115.333,376.667,4
142,0,129,129,129,114.667,393.333,4
143,0,124,124,124,125.333,408.667,4
144,0,128,128,128,134.000,423.333,4
145,0,113,113,113,164.000,450.667,4
146,0,111,111,111,187.333,459.333,4
147,0,107,107,107,190.000,467.333,4
148,0,112,112,112,196.667,494.000,4
149,0,125,125,125,294.000,486.000,4
150,0,125,125,125,298.000,458.667,4
151,0,124,124,124,294.667,441.333,4
152,0,113,113,113,298.667,398.000,4
153,0,127,127,127,291.333,384.667,4
154,0,140,140,140,288.667,375.333,4
155,0,127,127,127,269.333,367.333,4
156,0,117,117,117,248.667,352.667,4
157,0,120,120,120,232.000,332.000,4
158,0,120,120,120,218.667,310.000,4
159,0,124,124,124,219.333,293.333,4
160,0,111,111,111,220.000,269.333,4
161,0,113,113,113,214.000,252.667,4
162,0,108,108,108,208.000,226.000,4
163,0,105,105,105,180.000,206.000,4
164,0,97,97,97,181.333,189.333,4
165,0,100,100,100,180.000,172.667,4
166,0,98,98,98,168.000,140.667,4
167,0,107,107,107,215.333,198.000,4
168,0,114,114,114,219.333,183.333,4
169,0,113,113,113,220.000,161.333,4
170,0,112,112,112,209.333,141.333,4
171,0,106,106,106,209.333,126.667,4
172,0,109,109,109,210.000,100.667,4
173,0,107,107,107,204.667,86.667,4
174,0,113,113,113,196.000,72.000,4
175,0,95,95,95,306.000,60.000,4
176,0,96,96,96,314.667,77.333,4
177,0,102,102,102,316.667,97.333,4
178,0,105,105,105,324.000,126.000,4
179,0,98,98,98,321.333,166.000,4
180,0,109,109,109,320.667,183.333,4
181,0,110,110,110,314.000,208.000,4
182,0,129,129,129,308.667,220.667,4
183,0,111,111,111,306.000,236.667,4
184,0,121,121,121,295.333,262.000,4
185,0,135,135,135,290.667,276.667,4
186,0,128,128,128,288.000,296.667,4
187,0,103,103,103,291.333,310.667,4
188,0,105,105,105,290.000,332.667,4
189,0,105,105,105,289.333,346.667,4
190,0,116,116,116,316.000,403.333,4
191,0,105,105,105,333.333,388.000,4
192,0,113,113,113,344.000,360.000,4
193,0,106,106,106,368.000,332.667,4
194,0,101,101,101,382.000,312.000,4
195,0,102,102,102,375.333,508.000,4
196,0,105,105,105,385.333,494.667,4
197,0,112,112,112,405.333,462.667,4
198,0,95,95,95,385.333,168.000,4
199,0,107,107,107,377.333,149.333,4
200,0,104,104,104,374.000,134.667,4
201,0,112,112,112,372.667,119.333,4
202,0,102,102,102,373.333,107.333,4
203,0,101,101,101,378.000,85.333,4
204,0,113,113,113,378.667,70.000,4
205,0,96,96,96,382.667,92.667,5
206,0,103,103,103,376.000,109.333,5
207,0,103,103,103,377.333,121.333,5
208,0,116,116,116,374.667,134.667,5
209,0,109,109,109,376.000,150.667,5
210,0,117,117,117,376.667,161.333,5
211,0,110,110,110,386.000,183.333,5
212,0,114,114,114,398.667,208.667,5
213,0,111,111,111,409.333,223.333,5
214,0,113,113,113,318.000,176.667,5
215,0,114,114,114,317.333,193.333,5
216,0,118,118,118,308.667,142.667,5
217,0,124,124,124,312.667,119.333,5
218,0,122,122,122,314.667,111.333,5
219,0,117,117,117,313.333,210.667,5
220,0,111,111,111,308.000,228.000,5
221,0,109,109,109,302.000,242.667,5
222,0,122,122,122,297.333,254.667,5
223,0,136,136,136,293.333,267.333,5
224,0,133,133,133,290.667,281.333,5
225,0,123,123,123,289.333,296.667,5
226,0,123,123,123,289.333,312.667,5
227,0,115,115,115,289.333,330.667,5
228,0,109,109,109,288.667,340.667,5
229,0,120,120,120,286.667,351.333,5
230,0,132,132,132,274.667,365.333,5
231,0,121,121,121,260.000,354.667,5
232,0,103,103,103,232.667,334.667,5
233,0,122,122,122,230.667,322.667,5
234,0,121,121,121,218.000,304.667,5
235,0,110,110,110,222.000,285.333,5
236,0,124,124,124,215.333,254.000,5
237,0,101,101,101,210.000,232.667,5
238,0,105,105,105,196.000,210.000,5
239,0,106,106,106,192.000,196.000,5
240,0,101,101,101,183.333,178.000,5
241,0,110,110,110,174.000,166.000,5
242,0,90,90,90,170.000,130.000,5
243,0,99,99,99,172.000,112.000,5
244,0,107,107,107,178.667,91.333,5
245,0,104,104,104,125.333,92.667,5
246,0,117,117,117,118.667,102.000,5
247,0,117,117,117,108.000,122.667,5
248,0,124,124,124,100.667,148.000,5
249,0,122,122,122,59.333,95.333,5
250,0,93,93,93,58.000,118.000,5
251,0,100,100,100,55.333,163.333,5
252,0,99,99,99,6.000,170.667,5
253,0,106,106,106,12.667,116.667,5
254,0,119,119,119,90.667,168.000,5
255,0,113,113,113,63.333,138.667,5
256,0,109,109,109,90.000,183.333,5
257,0,116,116,116,88.000,200.000,5
258,0,115,115,115,87.333,210.000,5
259,0,110,110,110,88.000,224.667,5
260,0,120,120,120,94.667,240.000,5
261,0,117,117,117,102.000,268.667,5
262,0,117,117,117,99.333,284.000,5
263,0,129,129,129,110.667,314.000,5
264,0,126,126,126,107.333,325.333,5
265,0,132,132,132,118.667,346.000,5
266,0,110,110,110,119.333,330.000,5
267,0,128,128,128,116.000,360.000,5
268,0,118,118,118,118.000,394.000,5
269,0,123,123,123,128.000,421.333,5
270,0,138,138,138,158.000,451.333,5
271,0,114,114,114,184.000,478.667,5
272,0,118,118,118,190.000,498.000,5
273,0,124,124,124,288.000,502.000,5
274,0,121,121,121,295.333,458.667,5
275,0,124,124,124,300.000,440.000,5
276,0,129,129,129,298.667,421.333,5
277,0,105,105,105,298.000,390.667,5
278,0,108,108,108,322.667,396.667,5
279,0,120,120,120,338.667,376.667,5
280,0,103,103,103,337.333,361.333,5
281,0,120,120,120,361.333,335.333,5
282,0,117,117,117,378.667,318.667,5
283,0,116,116,116,354.667,508.000,5
284,0,92,92,92,381.333,494.667,5
285,0,108,108,108,392.667,484.000,5
286,0,96,96,96,400.667,471.333,5
287,0,124,124,124,413.333,460.000,5
288,0,111,111,111,424.000,442.667,5
289,0,121,121,121,431.333,434.000,5
290,0,112,112,112,378.667,88.000,6
291,0,104,104,104,376.667,108.667,6
292,0,97,97,97,376.667,120.000,6
293,0,113,113,113,375.333,134.000,6
294,0,122,122,122,375.333,145.333,6
295,0,116,116,116,375.333,159.333,6
296,0,111,111,111,381.333,174.667,6
297,0,99,99,99,390.667,188.000,6
298,0,95,95,95,397.333,203.333,6
299,0,99,99,99,401.333,213.333,6
300,0,98,98,98,414.667,225.333,6
301,0,104,104,104,428.000,226.667,6
302,0,115,115,115,428.667,435.333,6
303,0,103,103,103,416.000,453.333,6
304,0,109,109,109,396.667,487.333,6
305,0,109,109,109,385.333,497.333,6
306,0,115,115,115,368.000,509.333,6
307,0,113,113,113,294.667,512.000,6
308,0,117,117,117,295.333,496.000,6
309,0,127,127,127,296.667,484.667,6
310,0,107,107,107,298.000,470.667,6
311,0,126,126,126,304.667,452.667,6
312,0,126,126,126,300.667,437.333,6
313,0,102,102,102,302.667,420.667,6
314,0,122,122,122,303.333,409.333,6
315,0,125,125,125,307.333,400.000,6
316,0,126,126,126,295.333,392.667,6
317,0,126,126,126,278.667,367.333,6
318,0,116,116,116,259.333,363.333,6
319,0,106,106,106,244.667,346.667,6
320,0,117,117,117,234.000,336.000,6
321,0,106,106,106,227.333,322.667,6
322,0,121,121,121,228.000,315.333,6
323,0,120,120,120,218.000,298.000,6
324,0,115,115,115,222.000,279.333,6
325,0,115,115,115,202.667,264.000,6
326,0,112,112,112,214.000,250.000,6
327,0,123,123,123,222.000,262.000,6
328,0,114,114,114,206.000,231.333,6
329,0,105,105,105,197.333,207.333,6
330,0,107,107,107,192.667,195.333,6
331,0,111,111,111,178.667,174.667,6
332,0,108,108,108,170.000,156.000,6
333,0,96,96,96,170.667,135.333,6
334,0,123,123,123,285.333,359.333,6
335,0,114,114,114,284.000,310.667,6
336,0,131,131,131,288.667,290.000,6
337,0,121,121,121,292.667,271.333,6
338,0,119,119,119,296.667,259.333,6
339,0,124,124,124,299.333,246.000,6
340,0,132,132,132,302.000,231.333,6
341,0,136,136,136,308.667,220.000,6
342,0,127,127,127,312.667,202.667,6
343,0,118,118,118,314.000,190.667,6
344,0,120,120,120,318.667,175.333,6
345,0,119,119,119,320.667,160.000,6
346,0,117,117,117,323.333,148.667,6
347,0,98,98,98,320.000,94.667,6
348,0,104,104,104,121.333,108.000,6
349,0,111,111,111,116.667,124.667,6
350,0,107,107,107,107.333,136.667,6
351,0,114,114,114,100.667,153.333,6
352,0,114,114,114,94.667,171.333,6
353,0,101,101,101,86.000,185.333,6
354,0,107,107,107,88.667,222.667,6
355,0,116,116,116,90.000,262.667,6
356,0,126,126,126,96.000,284.667,6
357,0,128,128,128,105.333,306.667,6
358,0,124,124,124,118.667,330.667,6
359,0,128,128,128,120.000,348.667,6
360,0,107,107,107,113.333,374.667,6
361,0,115,115,115,116.667,393.333,6
362,0,104,104,104,124.667,413.333,6
363,0,115,115,115,139.333,429.333,6
364,0,117,117,117,149.333,442.667,6
365,0,119,119,119,161.333,454.000,6
366,0,112,112,112,173.333,472.000,6
367,0,110,110,110,190.000,474.667,6
368,0,113,113,113,194.667,489.333,6
369,0,107,107,107,189.333,501.333,6
370,0,110,110,110,194.000,510.667,6
371,0,102,102,102,330.667,394.000,6
372,0,112,112,112,340.667,367.333,6
373,0,105,105,105,360.000,340.667,6
374,0,105,105,105,368.000,330.000,6
375,0,105,105,105,381.333,318.667,6
376,0,105,105,105,4.667,158.667,6
377,0,96,96,96,7.333,135.333,6
378,0,97,97,97,10.000,108.000,6
379,0,105,105,105,56.667,154.000,6
380,0,100,100,100,56.667,126.667,6
381,0,90,90,90,63.333,96.667,6
382,0,96,96,96,110.000,24.000,7
383,0,96,96,96,82.000,50.667,7
384,0,90,90,90,63.333,80.667,7
385,0,109,109,109,56.667,100.667,7
386,0,104,104,104,56.667,119.333,7
387,0,105,105,105,61.333,138.667,7
388,0,123,123,123,92.000,173.333,7
389,0,107,107,107,84.667,181.333,7
390,0,116,116,116,88.667,201.333,7
391,0,97,97,97,89.333,215.333,7
392,0,105,105,105,88.667,232.667,7
393,0,106,106,106,92.000,264.667,7
394,0,122,122,122,95.333,277.333,7
395,0,107,107,107,104.000,302.667,7
396,0,120,120,120,116.667,326.000,7
397,0,122,122,122,118.667,347.333,7
398,0,110,110,110,118.667,373.333,7
399,0,123,123,123,114.000,397.333,7
400,0,119,119,119,126.000,412.667,7
401,0,121,121,121,138.000,438.667,7
402,0,121,121,121,161.333,455.333,7
403,0,116,116,116,175.333,470.667,7
404,0,114,114,114,104.667,144.667,7
405,0,106,106,106,112.667,114.000,7
406,0,107,107,107,114.667,94.667,7
407,0,113,113,113,114.000,75.333,7
408,0,109,109,109,26.000,10.667,7
409,0,101,101,101,23.333,32.667,7
410,0,100,100,100,14.667,76.000,7
411,0,101,101,101,12.667,92.667,7
412,0,110,110,110,10.000,108.000,7
413,0,104,104,104,171.333,90.000,7
414,0,112,112,112,171.333,112.000,7
415,0,114,114,114,166.000,146.000,7
416,0,109,109,109,171.333,157.333,7
417,0,115,115,115,177.333,172.667,7
418,0,105,105,105,189.333,185.333,7
419,0,108,108,108,198.667,206.000,7
420,0,109,109,109,214.000,223.333,7
