 ,Area,Mean,Min,Max,X,Y,Slice
1,0,123,123,123,42.000,159.333,1
2,0,129,129,129,22.000,145.333,1
3,0,114,114,114,62.667,174.000,1
4,0,129,129,129,88.000,180.667,1
5,0,111,111,111,113.333,188.667,1
6,0,136,136,136,133.333,226.000,1
7,0,121,121,121,149.333,250.000,1
8,0,118,118,118,189.333,270.000,1
9,0,130,130,130,232.000,286.000,1
10,0,127,127,127,38.000,99.333,1
11,0,117,117,117,54.000,104.667,1
12,0,130,130,130,18.000,102.000,1
13,0,112,112,112,106.667,113.333,1
14,0,119,119,119,152.000,132.000,1
15,0,118,118,118,165.333,143.333,1
16,0,124,124,124,188.000,154.000,1
17,0,122,122,122,216.667,166.000,1
18,0,118,118,118,241.333,172.667,1
19,0,122,122,122,260.000,180.000,1
20,0,116,116,116,73.333,29.333,1
21,0,130,130,130,95.333,28.667,1
22,0,118,118,118,118.667,28.667,1
23,0,124,124,124,142.000,28.667,1
24,0,109,109,109,178.667,33.333,1
25,0,118,118,118,197.333,38.000,1
26,0,120,120,120,213.333,47.333,1
27,0,128,128,128,223.333,56.667,1
28,0,122,122,122,232.667,68.000,1
29,0,121,121,121,244.000,78.667,1
30,0,110,110,110,256.667,95.333,1
31,0,132,132,132,288.667,118.000,1
32,0,128,128,128,308.667,128.667,1
33,0,121,121,121,328.000,144.000,1
34,0,118,118,118,369.333,154.667,1
35,0,129,129,129,384.000,156.000,1
36,0,126,126,126,388.667,141.333,1
37,0,107,107,107,420.000,126.667,1
38,0,107,107,107,439.333,122.000,1
39,0,117,117,117,470.000,121.333,1
40,0,118,118,118,484.667,129.333,1
41,0,117,117,117,486.667,160.667,1
42,0,117,117,117,480.000,169.333,1
43,0,117,117,117,468.667,181.333,1
44,0,117,117,117,462.000,198.667,1
45,0,126,126,126,458.667,219.333,1
46,0,115,115,115,465.333,240.000,1
47,0,124,124,124,470.000,252.000,1
48,0,133,133,133,493.333,280.000,1
49,0,138,138,138,512.667,296.000,1
50,0,118,118,118,474.000,332.667,1
51,0,120,120,120,473.333,342.667,1
52,0,129,129,129,470.667,358.000,1
53,0,135,135,135,458.667,355.333,1
54,0,120,120,120,430.000,334.667,1
55,0,125,125,125,397.333,304.000,1
56,0,123,123,123,400.000,291.333,1
57,0,128,128,128,406.667,278.667,1
58,0,119,119,119,407.333,246.667,1
59,0,120,120,120,411.333,228.667,1
60,0,128,128,128,410.000,204.667,1
61,0,119,119,119,300.667,192.667,1
62,0,118,118,118,329.333,203.333,1
63,0,115,115,115,348.667,219.333,1
64,0,132,132,132,354.667,244.667,1
65,0,123,123,123,352.667,256.667,1
66,0,122,122,122,357.333,288.667,1
67,0,105,105,105,298.000,264.000,1
68,0,128,128,128,260.667,256.667,1
69,0,116,116,116,243.333,252.000,1
70,0,117,117,117,214.000,230.667,1
71,0,120,120,120,253.333,296.667,1
72,0,133,133,133,290.000,307.333,1
73,0,112,112,112,306.667,326.667,1
74,0,109,109,109,311.333,343.333,1
75,0,118,118,118,282.667,345.333,1
76,0,136,136,136,260.667,344.667,1
77,0,116,116,116,236.000,341.333,1
78,0,130,130,130,210.667,339.333,1
79,0,106,106,106,176.000,334.000,1
80,0,120,120,120,158.000,329.333,1
81,0,134,134,134,103.333,262.000,1
82,0,121,121,121,89.333,242.000,1
83,0,125,125,125,73.333,226.000,1
84,0,114,114,114,55.333,212.000,1
85,0,111,111,111,28.000,210.667,1
86,0,136,136,136,8.667,284.667,1
87,0,141,141,141,36.000,303.333,1
88,0,138,138,138,45.333,338.000,1
89,0,140,140,140,60.000,374.667,1
90,0,123,123,123,68.667,390.667,1
91,0,113,113,113,113.333,407.333,1
92,0,132,132,132,146.000,414.667,1
93,0,135,135,135,176.000,412.667,1
94,0,111,111,111,236.000,402.000,1
95,0,125,125,125,262.000,409.333,1
96,0,138,138,138,292.667,416.000,1
97,0,110,110,110,304.667,424.667,1
