FrameNumber, NCC, OriginalFrameNumber, Strip0_NCC, Strip0_XShift, Strip0_YShift, Strip10_NCC, Strip10_XShift, Strip10_YShift, Strip11_NCC, Strip11_XShift, Strip11_YShift, Strip12_NCC, Strip12_XShift, Strip12_YShift, Strip13_NCC, Strip13_XShift, Strip13_YShift, Strip14_NCC, Strip14_XShift, Strip14_YShift, Strip15_NCC, Strip15_XShift, Strip15_YShift, Strip1_NCC, Strip1_XShift, Strip1_YShift, Strip2_NCC, Strip2_XShift, Strip2_YShift, Strip3_NCC, Strip3_XShift, Strip3_YShift, Strip4_NCC, Strip4_XShift, Strip4_YShift, Strip5_NCC, Strip5_XShift, Strip5_YShift, Strip6_NCC, Strip6_XShift, Strip6_YShift, Strip7_NCC, Strip7_XShift, Strip7_YShift, Strip8_NCC, Strip8_XShift, Strip8_YShift, Strip9_NCC, Strip9_XShift, Strip9_YShift, XShift, YShift
1, 0.9687161445617676, 24, 0.9803510308265686, -42.00007915967936, -11.999070768174683, 0.9794405102729797, 3.9987583125680857, -49.99933275699698, 0.9803081750869751, 21.000087786885373, -4.001245813085745, 0.9809112548828125, 28.999403122112753, -8.999474433986279, 0.979458212852478, 102, 50, 0.9826997518539429, 26, 60, 0.9898983836174011, 1.3312002380416743e-06, 0.0018052801600560997, 0.9798895716667175, -31.999071033615564, -0.0012680986428961205, 0.9789164662361145, -20.999205450876133, -3.000994004323047, 0.9812491536140442, -3.0000663590928554, 1.0002181344758725, 0.9815713763237, -2.9999370093507594, 1.0002215652367, 0.9815712571144104, 82.99964522366771, 39.00023247086821, 0.9802647829055786, 3.0014671406760556, 3.000611291339709, 0.9812653660774231, 11.000084885329159, 3.999439075742089, 0.9822445511817932, 13.999662498012412, 5.001141266306263, 0.9816784262657166, 15.9994954216574, 5.00028871041286, -89, 81
2, 1, 25, 1, -0.0002914906779665216, -0.0007380480569736392, 1, -0.00029822395352141484, 7.744750371330156e-05, 0.9999998211860657, 8.763952689605503e-05, -0.00016236430815297354, 1, 7.936509075534559e-05, -2.5211693298388127e-05, 1, 0.00017568578620341668, 0.0004019140724267345, 0.9999998807907104, -0.0002370321565337008, -0.0009144180787643563, 0.9999998807907104, -0.00047758870437064616, 0.0003855033197623925, 0.9999998807907104, 5.704541965201315e-05, 5.787431079795624e-05, 1.0000001192092896, -5.934933531648312e-05, -0.000497377681369926, 0.9999998807907104, 0.0001853127087088069, -0.0002588838994483922, 1, 0.00012451666549395668, 0.0003208643541938727, 1, -0.0001150171928685495, 3.370157634208226e-05, 1, -8.434798623113693e-05, 0.0006946826804039574, 0.9999998807907104, -8.297913080923536e-05, 0.00020302199027355528, 1.000000238418579, 8.023885764885108e-05, 0.00038171466371750284, 1.000000238418579, -0.00014595857413723934, 0.0003997267534145976, 0, 0
3, 0.9734144806861877, 26, 0.9833207130432129, -3.0012474879297315, -23.000197032128256, 0.9848272204399109, -0.9988615718210951, 2.0011858225059314, 0.9839984178543091, 0.0001574920898264054, 6.000361959928966, 0.9844365119934082, 0.00043283494562729175, 10.00083862143947, 0.9857257604598999, 1.9995527529386408, 14.00284437997243, 0.9846635460853577, 4.001771028431236, 15.001041567130699, 0.9846511483192444, 5.999410373546866, 15.999864091353913, 0.983945906162262, -3.0003683083229475, -19.000973262995544, 0.9850496053695679, -2.0001474943947812, -15.999422313369735, 0.9847029447555542, -0.9996167268226941, -13.999713500949895, 0.9855000376701355, -0.0005858206466058391, -11.000665586214097, 0.9846014380455017, 0.9990132216965719, -7.999483732285626, 0.9849884510040283, 0.00251750188533606, -7.000248617256261, 0.9868839979171753, 0.0014560098626930085, -4.998690431444402, 0.9857466220855713, -0.9987029699866383, -2.9982975709867787, 0.9856747388839722, -0.0005189423650051594, 0.0012012764856308422, 25, -11
4, 0.9735983610153198, 27, 0.9828057289123535, 10.000673625708288, -28.99912980410953, 0.9852278232574463, -0.00034703257000501253, 1.0020606124165852, 0.9836163520812988, 0.0022561147390689484, 1.0004434438674252, 0.9848394393920898, 1.0005713696116345, 2.000538816174185, 0.9842453598976135, 2.000814766367, 3.001911555632205, 0.9813796281814575, 4.998939314278701, 3.9998459390208723, 0.9835377931594849, 7.999498481107182, 6.001788910128141, 0.9829672574996948, 10.00007627168739, -23.000024143953198, 0.9847346544265747, 9.999761021043469, -18.99897434479206, 0.9841771721839905, 10.000951956497971, -14.99997951554053, 0.9849914312362671, 11.99968338351043, -13.000312796765286, 0.9834256768226624, 10.999638633187644, -10.998395845310142, 0.9827624559402466, 8.000173973112311, -10.000145410294977, 0.9849836230278015, 4.000212783797494, -6.000142796366163, 0.9847440719604492, 1.9992716352406887, -3.9986412491286956, 0.9843088984489441, 0.00034978861107504144, 0.000567379176175109, 42, 12
5, 0.9733364582061768, 28, 0.982517659664154, -0.9999414286011898, -14.99991343319764, 0.9831356406211853, -7.9998527403921855, -2.999794512085032, 0.9826372861862183, -8.999424445633622, -3.998678046754435, 0.984829843044281, -8.99978847862333, -3.000507931240975, 0.9833349585533142, -9.999224845089728, -0.9980555421910253, 0.9813036322593689, -8.999910023983873, 0.9980706940619939, 0.9817826151847839, -7.000068639914886, 4.00090986950886, 0.9820761680603027, -0.9993649804933682, -11.000584856892928, 0.9841489195823669, -1.999608063644743, -6.000128951066003, 0.9831944108009338, -3.0002082524158737, -3.9992445989034877, 0.9839648604393005, -4.139297334404546e-05, 0.0002847854227638891, 0.9837539196014404, 0.9997527382854088, 2.00017945532079, 0.9825957417488098, 1.0009579891478921, -0.0009150859889928142, 0.9835951924324036, 0.001066443013669982, -1.9996727534463048, 0.9833203554153442, -3.000446990011028, -2.999647538765828, 0.9827015399932861, -6.000134558416406, -2.999050731298496, 63, 24
6, 0.974280834197998, 29, 0.9841064214706421, 7.00020352978936, -22.999003563956364, 0.9839333295822144, -2.000065884384327, 1.0003276883728631, 0.9838035702705383, -1.0004533065616101, 0.0010310895522138708, 0.9843114614486694, -1.0006866801048773, 1.0001408766827353, 0.9831678867340088, -0.9982668484819897, 1.0012231087973191, 0.9831851124763489, -0.0003204643837761978, 1.0002725497653842, 0.9815875887870789, 1.0008401805348086, 2.000508793717131, 0.98372483253479, 5.999761671140064, -18.00062300146446, 0.9824079871177673, 3.000778129741917, -13.001159069055092, 0.9820774793624878, 4.00017259731689, -9.999069845377733, 0.9843267202377319, 4.999416791436843, -4.000530221195504, 0.9842288494110107, 4.999413925111753, -1.9991265556212738, 0.9826217889785767, 3.999832456909658, 0.0004211460604324202, 0.9841393232345581, 1.9992845376202268, 0.0014284197453093839, 0.9849620461463928, -2.445801980854867e-05, 0.0008105708856191995, 0.9836655855178833, -0.999509091750511, 0.0019137466327379116, 64, 19
7, 0.9750649333000183, 30, 0.9840692281723022, 11.000428842808148, -14.000485318997882, 0.9841926693916321, -3.0007087499225378, 0.0001318752998713535, 0.9835265278816223, -2.997862536482117, -1.713036982664562e-05, 0.9856067299842834, -1.9993858768720543, -0.0010449169503203848, 0.9837750792503357, -0.9988753955910141, -0.999730139950259, 0.9819018840789795, -0.00029026047845093217, -3.9995544859393704, 0.9778969287872314, 1.0001965384911244, -7.000840460692757, 0.9835459589958191, 8.001383612351702, -9.999469881878426, 0.9824288487434387, 6.000047681684947, -6.00094031298147, 0.9841084480285645, 3.999245151022876, -3.000115165243045, 0.9855505228042603, 2.0002713763305024, -0.00019822298995109122, 0.984153687953949, 1.9995418331795065, 1.0008251993745318, 0.9832028150558472, 2.001245569188015, 1.0024234160658239, 0.9850640296936035, 1.0017322763138594, 1.0014053923330266, 0.9832595586776733, 0.0011577434745078108, 0.0012089082899819914, 0.9834413528442383, -3.000347698892213, 0.0016738748514057988, 61, 3
8, 0.9726857542991638, 31, 0.9844321608543396, 4.999731534834382, -14.001432644311635, 0.9810805916786194, -7.000615407538561, -6.999786239190598, 0.9824797511100769, -8.999401561271156, -11.0016221172462, 0.9843595623970032, -9.999069447849052, -13.000400158827631, 0.9809128642082214, -8.999019814198732, -14.999282323009368, 0.9816516041755676, -8.00065179162823, -15.001577644720442, 0.9821178317070007, -5.999940284181392, -14.00046552736535, 0.983566164970398, 2.00026676531715, -9.999290857625695, 0.9838404059410095, 2.0000912254025422, -4.999528085490994, 0.9846366047859192, -9.355940801469842e-05, -2.9987886131631853, 0.9846324324607849, -0.00026984269638319347, 0.00032949531706094604, 0.9853783249855042, -0.00046846380487863826, 1.000670172364778, 0.9848273396492004, 1.0008451950745751, 1.0014128951414705, 0.9851235151290894, 1.000003178106141, -0.9988541097717416, 0.9852207899093628, 0.0005758005945040168, -2.0005537260324786, 0.9846124053001404, -4.001423315863491, -4.9989583235275745, 53, -28
9, 0.9732568264007568, 32, 0.9882300496101379, 30.999974476587667, -30.000310053718387, 0.9812135696411133, -1.001626364147171, 0.9999766142684621, 0.9806075692176819, -0.999765288653407, 0.0004011830850458864, 0.9815144538879395, -0.9999846853580436, -1.0004590415735493, 0.9814870357513428, -2.000626087954643, 0.0002088801456920919, 0.9765841364860535, -0.0025047927639008094, -1.9993752237894569, 0.9813380241394043, 1.000603705871498, -0.9987768053305217, 0.9844902753829956, 9.9996011808704, -0.0006911359185437504, 0.9823577404022217, 7.999245364665569, 1.9989695407843442, 0.9834039211273193, 6.999884874635782, 4.000280871516765, 0.9835379123687744, 7.00049161491107, 5.9997478958912325, 0.9843820333480835, 7.999243248767627, 5.001020794755107, 0.9830966591835022, 7.0007531518002395, 4.002078519542096, 0.9838938117027283, 6.000045125891475, 3.000800161925781, 0.9823459386825562, 3.0006355249058743, 1.0006386360817032, 0.9830671548843384, 0.9993012281137794, 1.0007654768600105, 36, -84
10, 0.9710173606872559, 54, 0.9809001684188843, 5.998728429654491, -5.000149654696678, 0.9792709350585938, -11.000657032393406, 8.999173726500317, 0.980800986289978, -8.999435038972763, 7.9996693220017505, 0.9815266132354736, -10.00047277576246, 8.000854222489465, 0.9870263338088989, 83, 58, 0.9883903861045837, -7.004773242158535e-05, -0.0012639973404020566, 0.9898983836174011, 1.3312002380416743e-06, 0.0018052801600560997, 0.981876790523529, 1.0011104650823341, -3.9998903032492024, 0.9805608987808228, 0.00040892885246535116, -3.0010876398987136, 0.9782982468605042, -1.999687615702328, -0.9995695408568395, 0.9818571209907532, 1.0003087790819052, -0.00011228444444100205, 0.9816560745239258, 2.9997739161254913, -1.9985297921534482, 0.9806257486343384, 0.9990838025588005, 2.0014089797135455, 0.981820285320282, -1.0004313880815516, 3.0012890443573497, 0.9838945865631104, -4.999583023013287, 5.000073650690069, 0.9818388223648071, -6.999710945723976, 6.001019945852988, -93, 128
